 15.8911, 10.0896, 2.0205, 2.0205
 8.1253, 5.0954, 1.4915, 1.4915
 3.8026, 3.3677, 1.2101, 1.2101
 3.2022, 3.1748, 1.1689, 1.1689
 2.4060, 2.2116, 0.9931, 0.9931
 2.1156, 1.7599, 0.8931, 0.8931
 1.7473, 1.6468, 0.8606, 0.8606
 1.6316, 1.5086, 0.8215, 0.8215
 1.4384, 1.3006, 0.7512, 0.7512
 1.2733, 1.2119, 0.7175, 0.7175
 1.2066, 1.1617, 0.6979, 0.6979
 1.1594, 1.1089, 0.6771, 0.6771
 1.1063, 1.0645, 0.6592, 0.6592
 1.0664, 1.0298, 0.6449, 0.6449
 1.0312, 1.0019, 0.6334, 0.6334
 1.0008, 0.9738, 0.6225, 0.6225
 0.9748, 0.9523, 0.6145, 0.6145
 0.9530, 0.9338, 0.6076, 0.6076
 0.9334, 0.9191, 0.6024, 0.6024
 0.9127, 0.9042, 0.5970, 0.5970
 0.8942, 0.8907, 0.5918, 0.5918
 0.8778, 0.8753, 0.5864, 0.5864
 0.8636, 0.8659, 0.5831, 0.5831
 0.8513, 0.8545, 0.5789, 0.5789
 0.8402, 0.8447, 0.5757, 0.5757
 0.8296, 0.8349, 0.5724, 0.5724
 0.8198, 0.8252, 0.5691, 0.5691
 0.8103, 0.8161, 0.5660, 0.5660
 0.8013, 0.8075, 0.5632, 0.5632
 0.7910, 0.7911, 0.5579, 0.5579
 0.7690, 0.7624, 0.5482, 0.5482
 0.7478, 0.7455, 0.5424, 0.5424
 0.7316, 0.7259, 0.5347, 0.5347
 0.7022, 0.6902, 0.5178, 0.5178
 0.6627, 0.6486, 0.4962, 0.4962
 0.6205, 0.6077, 0.4731, 0.4731
 0.5841, 0.5766, 0.4540, 0.4540
 0.5561, 0.5441, 0.4363, 0.4363
 0.5318, 0.5273, 0.4266, 0.4266
 0.5164, 0.5141, 0.4192, 0.4192
 0.5050, 0.5040, 0.4138, 0.4138
 0.4958, 0.4952, 0.4091, 0.4091
 0.4880, 0.4875, 0.4050, 0.4050
 0.4811, 0.4807, 0.4012, 0.4012
 0.4748, 0.4733, 0.3969, 0.3969
 0.4686, 0.4694, 0.3952, 0.3952
 0.4628, 0.4618, 0.3906, 0.3906
 0.4569, 0.4566, 0.3870, 0.3870
 0.4516, 0.4510, 0.3834, 0.3834
 0.4463, 0.4459, 0.3802, 0.3802
 0.4413, 0.4406, 0.3775, 0.3775
 0.4362, 0.4360, 0.3746, 0.3746
 0.4314, 0.4320, 0.3708, 0.3708
 0.4271, 0.4289, 0.3673, 0.3673
 0.4229, 0.4268, 0.3647, 0.3647
 0.4190, 0.4235, 0.3625, 0.3625
 0.4153, 0.4201, 0.3601, 0.3601
 0.4120, 0.4173, 0.3583, 0.3583
 0.4087, 0.4142, 0.3563, 0.3563
 0.4057, 0.4112, 0.3544, 0.3544
 0.4028, 0.4080, 0.3525, 0.3525
 0.3998, 0.4053, 0.3511, 0.3511
 0.3967, 0.4025, 0.3495, 0.3495
 0.3940, 0.3998, 0.3481, 0.3481
 0.3911, 0.3971, 0.3464, 0.3464
 0.3885, 0.3946, 0.3451, 0.3451
 0.3857, 0.3916, 0.3436, 0.3436
 0.3828, 0.3886, 0.3421, 0.3421
 0.3800, 0.3860, 0.3409, 0.3409
 0.3770, 0.3836, 0.3402, 0.3402
 0.3741, 0.3809, 0.3390, 0.3390
 0.3710, 0.3778, 0.3372, 0.3372
 0.3680, 0.3756, 0.3366, 0.3366
 0.3650, 0.3729, 0.3353, 0.3353
 0.3622, 0.3700, 0.3336, 0.3336
 0.3600, 0.3675, 0.3325, 0.3325
 0.3579, 0.3652, 0.3313, 0.3313
 0.3558, 0.3627, 0.3302, 0.3302
 0.3538, 0.3602, 0.3290, 0.3290
 0.3520, 0.3578, 0.3280, 0.3280
 0.3503, 0.3556, 0.3270, 0.3270
 0.3486, 0.3533, 0.3259, 0.3259
 0.3469, 0.3512, 0.3248, 0.3248
 0.3453, 0.3495, 0.3239, 0.3239
 0.3437, 0.3478, 0.3232, 0.3232
 0.3421, 0.3457, 0.3219, 0.3219
 0.3406, 0.3435, 0.3209, 0.3209
 0.3391, 0.3415, 0.3200, 0.3200
 0.3378, 0.3392, 0.3190, 0.3190
 0.3365, 0.3372, 0.3180, 0.3180
 0.3353, 0.3356, 0.3173, 0.3173
 0.3340, 0.3332, 0.3161, 0.3161
 0.3326, 0.3313, 0.3151, 0.3151
 0.3314, 0.3294, 0.3143, 0.3143
 0.3302, 0.3277, 0.3134, 0.3134
 0.3288, 0.3260, 0.3121, 0.3121
 0.3275, 0.3245, 0.3115, 0.3115
 0.3264, 0.3230, 0.3108, 0.3108
 0.3251, 0.3209, 0.3099, 0.3099
 0.3241, 0.3191, 0.3092, 0.3092
